id,text,label,
23,"Sounds like he was a shitty guy. It does feel good to forgive, though. Especially when someone doesn't deserve it. If he made you miserable,  try best not to let him influence/control you past his death with thelat heavy stressful feeling of hate. 

I really haven't been in your situation, but i hated my parents for years and although i never see my dad aside from a random card about his life with my stepmoms family, I still see him as a funny kind hearted man- just a shit father. I want him to be happy though.

 Again very different from you, but that's how I cope.",ADVICE,
24,"She’s gaslighting you, homeboy. Dip out. You’ve laid out the red flags for us, and are asking us if we also think they are red. 

Yes. There are red flags aplenty. RUN. 

Having a big confrontational blowout is only going to be crazy-escalation fuel for this situation. 

These are not the droids you are looking for. Move along. 

Edit: For future reference, if you don’t date/love/fuck your SO, someone will. Get dialed in with your SO’s kink level and get comfy with it. Also, don’t give someone your time if they don’t respect it. ",ADVICE,
25,"Basic title insurance does typically only protect the title, it depends on what type and which extras OP might have bought into or bundled under the title insurance policy. Insurance is insurance, there usually are plenty of bells and whistles offered that a person might never need or have to add on if wanted (like how renters insurance have multiple types of 'flood' policies you need to get separately or they might have electronics insurance as a separate charge.)",WARNING,
26,"Why say ""its cheaper to raise my sallary then to find another worker""?
Why not try like this: ""over the past x time while I have been working here iv learned alot about my job and thus I find that asking for a raise would be justified. Im asking for (here you insert 125% of the raise you want). ""
Most likely you wount get that 125% but no worries, you have negotiation space. And if you get that 125% then you outplayed yourself. Congrats.",ADVICE,
27,"Pay the ticket. If you got the wrong ticket and think that the correct ticket would be cheaper than the incorrect ticket, then you could contest that, but it's not clear (a) who you'd contest that with if this was a private lot and (b) whether the correct ticket would have been cheaper anyway.",ADVICE,
28,It’s a mistake to think counseling is only for problems. Go. It’ll make your marriage even better. ,ADVICE,
29,I’m currently in a ldr! Been together 2 yrs but doing long distance for the past 7 months. And we won’t be together until summer of 2020 ,ADVICE,
30,I'd send it back just to be cautious. Dont want to get sued for stealing property down the line. You should also start an email chain that proves you contacted them and tried to return it. ,ADVICE,
31,"I'd like to point out, you're about to graduate and either go to university or get a full time job, she's still *early* on in school. You're in completely different stages of your lives, she won't be on your level when you graduate.",APPRAISAL,
32,"Tell him that by insisting on this, he is crossing emotional boundaries and that you want to see a counselor. If your marriage has any hope of working out, he needs to get over his ex and prioritize you and the baby. If not, at least the counselor can help you set up boundaries for your divorce. Best of luck. ",ADVICE,
33,Yes please :( On how to make it a less awkward. ,ANECDOTE,
34,"Look dude, you see this wall of text showing how ready you are to persevere through these terrible emotions and be with this person? She's shown you that she clearly doesn't have those same values or feelings.

 Dump this person that clearly doesn't hold the same value to you and find somebody that will fight for it all just like you said you will. ",ADVICE,
35,A guy who does that has a lot of things to understand about life and himself. Don't bother being the one to do that journey with him :-/ ,ADVICE,
36,Yes he can get it back. If she says no the law can compel her to return it. ,WARNING,
37,"Pay the utility bill and sue the the leasing company AND the new tenant in small claims to be reimbursed. 

Well send a demand letter first. I am not entirely sure that the leasing company is REALLY obligated to facilitate this. But since they accepted the responsibility to facilitate it when you were on the other end, they certainly opened themselves a lawsuit in the current situation. It doesn’t hurt to name them in small claims and let court sort it out. Be sure to collect all records of your accounts and payments and prepare a timeline.",ADVICE,
38,"If evil be spoken of you and it be true, correct yourself, if it be a lie, laugh at it. - Epictetus
",ADVICE,
39,"It sucks, but you’re not overreacting. Good luck bro.",EMOTIONAL_SUPPORT,
40,I read that her aunt called her names and ops gf flipped out and got violent. Did I miss something?,ANECDOTE,
41,"The case will come to nothing if there is no evidence.  

Don't sue the coworker,  that's kind of a dick move.  

Don't worry about it.  Maybe cook your dad a really good dinner when he gets home? ",ANECDOTE,
42,"Nope.  It's generally good practice to go over your will with the heirs though.  As someone who's been an executor of several estates, it would've saved me a whole lot of trouble from heirs (or intentionally left-out children) being mad at and blaming me instead of the deceased.",ANECDOTE,
43,"Be honest and respectful about it.  “Hey, you’re a good bunch of people, but unfortunately the work that was expected hasn’t materialized.  Obviously wasn’t my plan to leave, but you gotta go where the work is, right?”  Most people in a contracting job/field like this will understand that (I’m in a somewhat similar role, and it’s just how it is).  Then thank them for the opportunity, and say you hope they’ll keep you in mind if the work comes back.  ",ADVICE,
44,"First off there is no magic formula to figure women out. 

You ultimately want a woman to be attracted to you. Anyone can buy flowers and take them to nice places. Sure. It might do it for some girls but those likely aren't the ones you're pursuing. What makes *you* special. What makes *you* unique. I've had great dates that wind up at Walmart shopping for snacks and I've had terrible dates at expensive restaurants. 

You need to be you. Don't play the game. Don't put on a show. Be you. Be genuine. Be into the girl. Be attracted to her. Don't think about just being with *a woman.* You have to be into *that woman*. 

You're also going to strike out a lot. Lots of people are looking for quick hook ups or basically speed dating. Don't let yourself get tio frustrated either.",ADVICE,
45,I have heard this from a close friend of mine in college who has talked to her and knows more from her,ANECDOTE,
46,"Adult cats should not be held by their scruff, it's actually painful for most adult cats. Restricting their ability to move and trying to intimidate them is absolutely abusive. Considering he's doing *physically* abusive things to them too, we can stop just calling it emotional abuse. Because it's both emotional and physical at this point. 

Your cats are distant because your boyfriend is treating them like shit, and you're allowing it by still letting him be around them.

Color me a crazy fucking cat lady, but if you abuse my cats then you can fuck right out of my life. ",ADVICE,
47,"Yeah, the bank is agreeing OP but this is the prime reason why you only use a debit card at a bank’s atm or at a grocery store.  Credit card for everything else.  ",APPRAISAL,
48,I call it awkward but shes stuck in a position living with the person so I get why it might be difficult for her to stand up to. Shes not the one doing it?,ANECDOTE,
49,"He was a fully grown man (27) when you started dating. You were literally a teenager (19). Sometimes that's ok, but often guys who pursue younger women are controlling, abusive, and insecure. They like the power that being older, wiser, and usually richer gives them over a woman who has less life experience. They like asserting that power in many ways: financially, sexually, intellectually, etc. 
 
Your boyfriend is a creep who is controlling you and treating you like a puppet. He gets off on you being degraded and dominated. Get away from him.  ",WARNING,
50,"Your parents won't be raising the kid, they don't get a say. The child will rely on you completely for at least 20 years, and if you're not ready for that commitment then that's all there is to it. I think you should try and figure out what your own opinions are on the matter, seperate from your husbands or parents, and then sit down and have a real conversation with him about what kind of time frame you're thinking. You have time, but if you don't think you ever want them, your husband deserves to know that as soon as possible.",ADVICE,
51,"Indeed, if the only goal were to address legal issues there would be no reason for any sort of excuse. But OP can be fired for making the police suspicious, so the ""non-suspicious excuse"" is solely for job-protection purposes.",APPRAISAL,
52,Leave it in there. Roll it over to your next 401k with your next job.  Dont EVER touch your retirement unless you absolutely have no other choice then to declare bankruptcy.,ADVICE,
53,"Depends what  work contract you signed.

Did you sign sesonal part time?(even if its 25 seasons long)  If so then no.

Did you sign as a contractor from an outside business  then no.

If this is corporate stores(Walmart,home depot lowes) youll need a lawyer to even ask for severage",WARNING,
54,"> I don't have an issue with my husband looking at porn but if he turned me down to masturbate later with out me

Sometimes guys don't want to have to ""perform,"" make sure their partner is getting off, having a good time, foreplay, etc. Sometimes a dude just wants to rub one out, and get off quickly and do it how he wants.

",APPRAISAL,
55,Plenty of people care if you are ugly or beautiful.,APPRAISAL,
56,There might be a one time tax from the city or county. I had this happen to me when I got my first paycheck this year. ,WARNING,
57,Get a consultation with an attorney and DO NOT REPLY OR COMMENT on her facebook rants.  ,ADVICE,
58,"From what i've read you have zero basis for a case and any attorney/lawyer wouldn't take it seriously unless you laid down a big chunk of money. Even if you did manage to get a lawyer, it is highly unlikely that you would win. It would be an overall waste of money and time.",WARNING,
59,"I just broke up with my boyfriend today and I'm struggling big time. I needed this, thank you. ",ANECDOTE,
60,"It's not. It's a pretty well known thing. As a sexual assualt victim myself, the first few weeks it seems like ""oh damn! I can get through this. It's not that bad"". Then you see someone who sorta looks like them, then you see the outfit you were wearing that day, then you see the place where it happened, and suddenly you aren't as okay as you thought. ",ANECDOTE,
61,"Thanks for the reply

In the beginning of our marriage sex was great, every other day or so like it was when we were dating.   After our son, she started turning me down, alot.

Now a days she still turns me down 9 out of 10 times, for reasons like she is tired, that she needs space, or she doesn't want it.   It would make me feel unatractive, or undisired and it hurt a bit. And if we do have sex it is almost always vanilla, meaning no real foreplay, and no exploring our sexuality together.

I have tried several things to get her in the mood more such as helping out house, helping with our son, almost completely quiting video games.  Used to play MMOs and other games that cannot be paused,   now if I play, instead of sitting with her, I play games that can be paused.  She still gets upset because I have a hard time switching tasks, especially if I am focused on something and would reply with short answers.  

 I have tried to get her to play with me but she feels like she is just following me around.  I tried switching to support roles in games that results in her getting fustrated because she can't progress past points that I can't heal through her standing in fire or standing in telegraphed moves.

So now our quality time consists of watching shows I dislike,and I feign interest.  Because honestly I could care less if the bachelor gets with girl or another,  or if a product on shark tank is going to get funding.  But hey at least I am cuddling and getting touch.


",ANECDOTE,
62,"I prefer to pay them myself. I’ve heard of too many instances where the mortgage company messes something up, including one that I experienced when I bought my first house. 

If you’re good at budgeting and you include your taxes as an expense in your budget, then you should have no problem.



",ANECDOTE,
63,"Just introduce yourself. Talk to him as you would a cashier at a checkout lane. Just start with small talk, laugh a little, don't be tense.",ADVICE,
64,"I left my husband last year over this. Amongst other things. He was literally trying to fuck ALL of my friends and none of them went for it. They all told me about it. It was humiliating. He had a problem and owned up to it when I asked him. My friends had screen shots over a  2 year span. 2 fucking years. Your husband is a Jason. He will not change because he doesn’t want to. 
It’s not your fault. You deserve so much more!!! And one day you’ll look back and you’ll be with someone who literally worships you and appreciates you who is trustworthy and fantastic.  And you’ll roll your eyes at yourself girl. Leave. ",EMOTIONAL_SUPPORT,
65,I mean that doesnt really mean she can go and have a 3 sum with a diffrenet guy after you told her you wanted to be the first one with her to experience this. What if you both were virgins and said i want to experience this together and she goes to fuck someone else. This seems like a very close comparison obviously with a few differences that wouldnt make that much of a difference. She still kinda betrayed you. ,APPRAISAL,
66,"Temporary restraining orders are often granted on an interim basis based on the sworn testimony of only one party. The intent is to ensure that whatever behaviour is at issue is at least put on hold until the matter can be heard; the next step is generally a hearing as to whether the HRO should be upheld once both parties are aware of it and able to attend.

As you were never served, the order was never effective on you, and is irrelevant to you.",WARNING,
67,"Dude this girl is trying kinky things for you even if she doesn’t necessarily enjoy it and you’re going behind her back to get permission to cheat on her because you want more? 

Seriously do her a favor and break up with her before she makes the mistake of marrying you. ",ADVICE,
68,"Regardless of what his diagnosis may or may not be, you suspect she's being abused. Focus on offering her support if she needs it by reaching out to her. You could just email her and ask if she wants to get a coffee or something, try to get her out for a face to face. It's difficult to talk to a close friend about these things but much more difficult to talk to a stranger.

Your other option is just to mail her, about your concern. It looks to you as though she may be being mistreated. You're offering support if she needs it. But I'd stay away from the diagnosis. Whatever his issue is, it's not as important as her health and safety. ",ADVICE,
69,"Latter. You can also take a SMALL portion of that and invest at higher risk but that depends of your risk tolerance. 

",ADVICE,
70,"I don't kinda feel like being addicted to it anymore. 
I just wanna have some fun since it's been a very long time since last time I watched. And now that this morning I sort of fapped too... 

I honestly don't feel like being addicted or anything like that, but something is holding me back and I wanna hear some opinions. ",ANECDOTE,
71,">“You’re just jealous that I have more followers than you do or ever will so stop using your insecurities against me”  
>  
>“You’re just mad because I’m a hot girl and you were a Virgin before I took you on”  
>  
>“You’re really effing controlling and I don’t appreciate you telling me to close my account just because you’re too fragile and can not handle my popularity and success”.

Date someone nice who likes you.",ADVICE,
72,"Spread word yourself, either in person or through social media like facebook or twitter. Hopefully, from their it will grow in popularity.",APPRAISAL,
73,What do you think changed?,APPRAISAL,
74,"He can post it. It may get taken down.

Millions upload videos with music in the background. Some get taken down, some don't. ",WARNING,
75,Thanks! Any recommendations on starting that process? ,APPRAISAL,
76,"Kind of ironic that you have a history of cheating on an SO and because of a high number of partners you believe your current SO can't be trusted.

If anything, your SO should be concerned about you you sneaking around behind their back.

But to answer your initial question..... No its not too damn high.",APPRAISAL,
77,"Well I can see where you're coming from, but this is why, traditionally, the employer puts his cards down first. If you have a ""budget"" (which is just a psychological concept), then you know how much impact on the bottom line this position can realistically have. That range. Why not just tell them? Some people might be able to make $150k as a data analyst, but you know it's not possible to add that much value in that role chez vous. Just tell them the range. 

Jobs are all different, and I might say ""yes"" to $50k if the CIA offered me a job, but if it's Bob's Dildo Emporium, they would have to pay me $150k. That's the environment job seekers are in. ",ADVICE,
78,"In reality, no, it's not really an option. I was in 'therapy' for a while before she passed but it didn't help, I don't talk. Whether it's fear of being judged or just how I am, I don't know. Thank you for your comment, I'll have a look for that book! :)",ANECDOTE,
79,The people working for us never complained! In fact our anonymous quarterly reviews were through the roof! Not perfect but the people that worked for us were happy! ,APPRAISAL,
80,"Were you laid off? That can be for any number of reasons, lack of work etc. ",APPRAISAL,
81,I know I’ll have to confront her about it at some point. But how can I casually bring up the fact that I know she started messaging him again as soon as I told her I trusted her?,ANECDOTE,
82,"Cortisol will kill you. Its constantly released by your vody, and only really suppressed by the hormones released when you feel that super comfortable, fuzzy feeling inside. 

Since most people cant find a new love interest every day, buy a new mansion, or hit a new career goal, the easiest way to up your endorphins is to laugh. Find some youtibe videos or stand up routines you havent seen, and laugh every day. ",ADVICE,
83,Call the cops on your mother for animal abuse. Figure out a way to get out of that house.,ADVICE,
84,"I don't want to get out of paying the bill, just don't want to get charged late fees from issues on their end. ",ANECDOTE,
85,"Probably not unless you signed some type of contract, but you should go through the process of canceling properly. If that means giving them a call, then give them a call, put up with their BS and get it done. Good Organizations taking donations should not make it hard to cancel. it does look like  they spend less then 20% on actually feeding the children. Pretty sad. ",ADVICE,
86,"> What order should I focus on for loan repayment?

Treat any loan that does not accrue interest while you're in school as 0% until you're out of school.  Do not do this for the loans that are accruing deferred interest (Discover, etc).

Pay them in the order of highest-to-lowest APR.

So the first two to concentrate on would be the 9.63% Sallie Mae and the 8.24% Discover.

> What loans do I defer while in graduate school? 

As many of them as you can them except for the one you are currently paying down.  This isn't for reducing how much you are spending each month, it's assuming that money that you would pay to them can be paid to the current (higher APR) one instead.  Ie, instead of paying $500 to the 4.38% Sallie Mae, defer it (if possible) and pay that $500 to the 9.63% one.  What you don't want to do is pay $500 less a month.

> My thoughts on this is if I defer them, I have a 'safety net' or sorts while I am in graduate school where if money is tight, I can choose not to make a payment one month.

> Should I put my extra income from my stipend towards my loans? 

No idea your financial situation.  Ideally you have a small emergency fund set aside, take care of your day-to-day expenses, and then dump everything else into the loans, but maybe your situation is different.",ADVICE,
87,"This means a lot, thanks.",ANECDOTE,
88,"I really needed that. That's exactly it, my mind creates these bad situations. And then yea I get worried that I'm pushing him away. 

Can you tell me I'm just being silly now because he's amazing and I'm being an idiot.",ANECDOTE,
89,"I hope it's that easy, especially since I do think it was dismissed without prejudice which if I Googled correctly means stuff can happen in the future.",WARNING,
90,"Act natural. Avoid her if you can because he probably will. There will be at least one awkward encounter. If your paths cross, just treat her like any of his other friends. Grab a girlfriend before the big day, go out shopping, and buy the hottest dress you can find so that the ex knows your man upgraded.",ADVICE,
91,"Honestly, I would ask her (not straight out.... just casually bring it out during a convo about dad always being gone). 

I know everyone would be against this and say it's none of your business; however, you've seen the messages.  If she finds about the messages and asks you if you knew about them (particularly since you gave him the Kindle), how would you respond?",ADVICE,
92,"Forgive my ignorance on the matter but isn't it possible to have several maids of honors? Where im from we don't really do bestman/maids of honors. Usually relatives, siblings close friend etc all take an equal share of that ""burden"".

&#x200B;

In any case i think she's playing a bit too much with your feelings and perhaps taking your friendship for granted. You could perhaps let her know after the wedding if you ever get in touch again. But as many other have said, it may be best to just move on.",ADVICE,
93,"Good advice, I will break this out in a spread sheet",ANECDOTE,
94,Yeah that could be a potential. Perhaps you and J could find another place. But you deserve a great life and would be best to take care of yourself. There's gotta be a better solution than what is going on right now. And yeah you're welcome!,EMOTIONAL_SUPPORT,
95,Just stay out of it.  No need to involve yourself in other people's drama.  None of this directly affects you. ,ADVICE,
96,"Sorry, as in you’re trying to avoid paying interest on any sort of business loan or investment?",APPRAISAL,
97,Ok thanks. That makes me feel so much better. I scheduled the haircut for Saturday. Wish me luck! ,APPRAISAL,
98," I would assume that like most loans, if you don’t pay at least the minimum amount due each month, they will go into default and you can be garnished. ",WARNING,
99,"That's definitely rape, everything you just described.  You said no and gave him a very reasonable condition, but he pushed past your concerns and had at you forcefully.  Lots of women freeze up or just let it happen because they're shocked.  That doesn't mean they're okay with it.  Tell your boss.  It can be your female boss.  You don't need to be vague.  You can say you have no interest in pressing charges, but you don't want to be near this person -and you don't think he should be in an environment full of young women.",ADVICE,
100,"I would consider getting a therapist who can help coach you to improve socially through feedback, practicing social situations, and supportive suggestions as you try out your developing skills.",ANECDOTE,
101,"If that's your aim you won't get your monies worth. If you leave feeling bloated, horrible and a discusting pig then you wasted your money.

If you come out nicely full, satisfied having enjoyed your meal. Isn't that more worth the money.",ANECDOTE,
102,Are you sure it was just some random guy?,APPRAISAL,
103,I'd argue the husband shouldn't be on the property either.,ANECDOTE,
104,"Say this:

""The smell is leaking into the shared areas and I want to you find a solution. You could get a smokebuddy or other type of carbon filter.""

If you don't mind, buy him a smoke buddy yourself, give it to him, and say ""please use this"". If he's a friend he might even pay you back for it. I would.",ADVICE,
105,"so just go to the bank, and say that you would like to open an student account and get a credit card",ADVICE,
106,There are so many details! Burial or cremation? Open casket or closed? Who do you want to eulogize you? What cemetery do you want to use? What plot? What headstone? What casket or urn? What kind of memorial service do you want? Making those plans really took a toll on my wife. ,ANECDOTE,
107,"Exactly what I came here to say. The relationship was not healthy. Now he can really get out and explore and have meaningful contact with people, whatever their sex or gender. without baseless restrictions and harping insecurity. 

Enjoy the new year and all the good it brings, OP!",APPRAISAL,
108,"In that case, I would get the excessively long bank statement and just highlight the income lines and/or black out the rest. I’ve had to do that a few times, but it has worked for me. ",ADVICE,
109,Why would you end up homeless if you told your mom? You said she’s already keenly aware that your dad has a shopping/debt problem,APPRAISAL,
110,"When you are with someone for a long time, especially when you start dating young , there is a transition. A persons tastes may change, they may become complacent. They may start doing things they normally won’t do. 

You said something about failing relationship. First off, it’s ok to fail. In this case it wasn’t you who failed the relationship, am I right? His behavior may seem mild now, but what happens if it does escalate and the next thing you are discovering is that he did have sex with another woman.

If you are living under the adoration of your friends because they envy your relationship, eventually that will wear away and you are left creating this facade to hide the truth. 

Perhaps you should confront him , tell him how this makes you feel. If your relationship is solid and everything is on the table then he should comply and say yeah I did it. But if he hides it or “it’s no big deal” , he’s paving the way for future things and you’re probably going to accept them or turn your head. Remember if you have a strong trusting relationship, he shouldn’t have anything to hide such as internet browsing histories etc. 

Shouldn’t he be idolizing you instead of them?

Relationships are hard work. People make mistakes. They should also correct certain behavior when it hurts the one they love. ",ADVICE,
111,I hope so. I just hope I don't do anything to myself during the year.,ANECDOTE,
112,"NAL but the son of two cops, who has been in your exact position before. I have gotten one ticket in my life, and what I was advised to do by my mother, and other family cop friends, was I wrote a letter to the town court office, apologizing, explaining the predicament and an official print out of my driving record (from the DMV with a state seal, not just an online print out).  They wrote me back and dropped the points from the infraction, changed it to a non-moving violation, and I just had to pay the fine. Obviously might not work everywhere, but, if your driving record is clean like you said (my driving record literally just said I got my permit, got my license, got my above 21 year old license and that was literally it) they may do the same for you. Also, because they changed it to a non-moving violation, my insurance didn't go up",ADVICE,
113,"Generally speaking, the existing memberships transfer to the new owners. As long as the new owners are offering a similar service, you are still on the hook. 

Although I'm not sure if this is the case in Antarctica. I couldn't find their laws regarding contracts and gym memberships. ",WARNING,
114,"I don't know if it helps, but think about it this way: if someone were standing around talking and you needed them to move over a bit so you could get past, would you be upset with them?  I'm imagining, like most people, you wouldn't give it a second thought.  Put yourself in the other person's shoes and you might realize that people really aren't getting angry or irritated with you and you've got nothing to be embarrassed or uncomfortable about.",ADVICE,
115,You have the definite right to just go take your child.  Do it this way.  Go to your child's school in the morning with a copy of her birth certificate.  Check your child out of school and just bring her home.  If the police are called by the school just keep repeating that the grandparents have no court orders granting them any right to keep or access your child.  Be aware that her father has just as much right to take and keep the child as you do.  It's time to get a divorce attorney.  ,ADVICE,
116,"> My wife feels that legal action is warranted, though I am not sure how practical or cost effective this may be.

You're both right.

Given that the offer on the table is far greater than IL's small claims limit, I think a conversation with a real attorney is in order here. However, if they're bankrupt, or about to go bankrupt, you'll be more or less last in line, and there may be a number of claimants to split whatever's left after their secured debts are paid.

The optimistic outcomes are either that the embryo can be transferred to another clinic but on a more manageable schedule, or that your lawyer helps you negotiate a larger payout without having to go to court.",APPRAISAL,
117,"> Another piece of practical advice I would give is to start making those house payments to yourself right now and ask yourself if you can afford to pay that much.

I feel like a moron for not thinking of this myself.....",ANECDOTE,
