text,true_label,predicted_label
"First of all, if you have a close friend or relative you can speak about this with, you probably should. It’s good to let things out, and advice from someone who actually knows your boyfriend might be more insightful than advice from strangers on the internet. I’m not going to go into whether or not you should have snooped, because that is a whole other issue. However, your boyfriend’s behavior is incredibly suspicious and this is definitely confrontation worthy. If you’re able to, i think you should get some pictures of the messages so that you’re able to back yourself up when you talk to him. I don’t know if your boyfriend is this kind of person, but in the case that he tries to make you think you imagined the whole thing, you have evidence. Something that worries me is the anxiety and self confidence issues you mentioned. If you do determine that you are not “overreacting,” (which i don’t think you are, even flirting with other girls while I’m a relationship is messed up, imo. The implied kiss makes it even worse, peck or not.) don’t stay with him SOLEY because you think you cannot get someone better. I guarantee you that people who are way less deserving than you have found love. You deserve someone who treats you and your relationship with respect. Never settle. I can’t tell you if you should dump him, but you are justified in losing trust in him and feeling angry. Your boyfriend should be confronted, because he needs to shape up his sketchy behavior or ship out. ",ADVICE,WARNING
childish ones. Cheating and other things that freshman in highschool worry about. They were not true in the end. It was a very tiny school where small things were blown out of proportional. ,ANECDOTE,APPRAISAL
Yeah I got another contractor in to look at the back splash alone. And he said it needs to all come down. He could not work with any of it. Do I need to get like a surveyor in or something to look at the damages?,EMOTIONAL_SUPPORT,APPRAISAL
"The case usually is low self esteem. I dated a girl who cheated on me because she had low self esteem, so she’d run to other guys to tell her that she’s beautiful and how much they like her so she could feel better about herself. But it also has to do with selfishness and lack of respect for your partner. Clearly if your partner cheats on you, they don’t respect you whatsoever.

Tread carefully my friend.",ANECDOTE,ADVICE
"I filed a small claims case for my property value, court costs, and treble damages. However, Im going to tey and talk to a tenant landlord lawyer today and see what they say. I doubt she’s been served yet.",ADVICE,ANECDOTE
But you could do pre-tax 401k and Roth 401k. No particular reason to do Roth IRA if you aren't maxing out your 401k(s) and your workplace has Roth 401k option.,ADVICE,WARNING
"You’re 18, the kid isn’t yours, and SO much is going to happen developmentally for you in the next 4 years.

I think you know what is best for you.  ",ANECDOTE,APPRAISAL
"Then just see what your credit score is like after the refi, and if it's still in a good range for the card you want, you should be fine.",APPRAISAL,ADVICE
"Paying the $19,000 isn't ""paying off your PMI"". All you're doing is getting your balance down to <80% loan to value so that legally you are not required to have PMI which... is totally fine if you want to do that.

However, a much cheaper solution would be to actually buy out your PMI. You could for example refinance your home and buy out the PMI up-front for a fraction of that $19,000.

Another solution is to refinance with a 80/10/10 loan and also skip PMI without buying it out. Check it out....good luck.",ANECDOTE,ADVICE
"To add to this, intimidating or threatening a census worker could also raise the profile of what happened, and could involve the FBI. So the details of that interaction might be important.

Or it could be about something totally different and this just happens to be something unrelated close to that time.",APPRAISAL,WARNING
"If you have the funds, sooner beats later on average so skip the DCA",ADVICE,APPRAISAL
"Maybe your past behaviour has attracted some fuckboys. You're not being rude nor manipulative. He is being both rude and manipulative. Lmk if you want to share thoughts on how to find better guys.

Also, your ex has an ""expectation"" that you'll provide sex to him, since you did before. This expectation contributes to his anger. It does not make him good, and it does not make you bad. Since you guys have different expectations now, you're not good for each other anymore.",EMOTIONAL_SUPPORT,APPRAISAL
"No arguments here! That's exactly how I view my work, and it's what makes me happy. I make enough money that I'm well taken care of and I can devote my time to my hobbies and other pursuits. I totally get that other people will go above and beyond in order to further their careers and move up the ladder. There's nothing wrong with that in the least. It's just that I've seen it work, and I've seen it backfire. I've watched people kill themselves at their job and end up being passed over for promotions or even other jobs in the company because their managers recognize that they have someone willing to do twice the amount of work for no other pay, so they do everything they can to keep them there.  
  
At the end of the day, you gotta do what works for you. This works for me.",ANECDOTE,ADVICE
My grandmother died this morning. We found out she had cancer a month ago and we put her in hospice last week because the doctor said chemo wouldn't be particularly helpful.  I'm sorry that you are going through this.  I hated seeing her on what was essentially her deathbed and you aren't wrong for having those feelings.  It's painful to see someone we love suffer.,EMOTIONAL_SUPPORT,ANECDOTE
I am so sorry for your loss.  If you have not tried the subreddit CasualConversation you might check it out just for human contact. ,EMOTIONAL_SUPPORT,ADVICE
"Stop being such a pussy.

No seriously I mean it. You let your gf walk all over you like a wet doormat. It’s pathetic. Dump her and move on. You’re still young and it obviously sounds like you want some more experiences so go get’m.

But from the sound of it you’re about as shallow as she is. There’s not a signal decent quality about her personality in this post and you even sort of underhandedly talk about her appearance (which I can only image is smoking hot since you put up with all this). You’re literally only with her because she’s hot and sleeps with you but from the sound of it you’re pretty aware it’s unlikely you’re the only one in her life.

Get out, and man up. Nobody deserves to treat you like trash but if you’re going to take it then it’s going to happen.",ADVICE,WARNING
"> If you have knowledge on the subject, post payment is their a confirmation or do I need to wait for them to finalize the cp2000 to show the debt settled?

Once the case is closed, the IRS Very Old Computer will issue an adjustment notice showing the tax change, your payment, and a zero balance due. ",APPRAISAL,ADVICE
"I'm so sorry friend.  She was afraid you would act the way she does, its time to leave her.  ",ADVICE,APPRAISAL
"So messed up I have to spend all this money to hopefully get it reduced/thrown out, but if that’s my best shot I’ll try to make it happen

In your opinion, what is a good defense here",ADVICE,ANECDOTE
"If evil be spoken of you and it be true, correct yourself, if it be a lie, laugh at it. - Epictetus
",APPRAISAL,EMOTIONAL_SUPPORT
"You can take the shot and look for your ideal or you can stay with her, take your choice. But if you’re out on the dating world again, it’ll take some time.

But you can still have a great four year experience as a single person outside of sex and love, it’s all up to you.",APPRAISAL,ADVICE
"I understand, but... How old are you? This sounds like high school drama, which makes me wonder if you are actually spending *your* disposable income...",APPRAISAL,ANECDOTE
I'm saying this as a late 20s single man with a 10 year old reliable but not fancy mazda 3. Consider if you would feel comfortable picking up a date in you economy car. I know it's not a popular opinion on this sub but women like nice cars even if they say it's not important to them.,ADVICE,APPRAISAL
What are the other factors involved? Do you like the job you have now? Why are you trying to leave? What is the new job title versus your current job title? How would it look on a resume? How much is more pay? What are your current expenses?,ADVICE,APPRAISAL
